Date,Volume (USD),Inflow (USD),Outflow (USD),Net Inflow,Fees (USD),TVL (USD),Contributors,Pools,XRP Pooled
2024 March,41789.28,89627.45,115579.43,-25951.98,285.23,339235.23,,196,405660.47
2024 April,1195078.99,2462615.96,1454273.18,1008342.78,8234.38,3496041.34,2567,404,3914817.94
2024 May,1130808.26,935983.23,724708.74,211274.49,7922.51,4874284.96,2032,514,4942932.11
2024 June,10680311.99,5903060.79,6671070.37,-768009.58,98579.93,8075058.28,3136,599,8236595.48
2024 July,6407568.91,3127175.34,4311774.6,-1184599.26,61353.67,11553664.99,2749,749,9287800.18
2024 August,5417091.95,9535990.24,9823970.74,-287980.5,57405.76,31670557.39,2194,782,12533971.22
2024 September,2837838.66,2700149.28,2783062.19,-82912.91,32930.11,17626504,1944,882,12285188.05
2024 October,27121594.03,5069722.65,2256156,2813566.65,102702.98,10404010.56,4544,5712,15580320.88
2024 November,65600140.9,4742314.49,6838133.89,-2095819.4,253350.02,31161233.73,4312,8272,12339421.07
2024 December,135362062.1,17413250.03,5918872.27,11494377.76,453213.35,44727970.29,1819,9563,99767586.56
,255794285.1,51979889.46,40897601.41,11082288.05,1075977.94,,,,
